10   5.31
20   10.35
30   15.43
40   18.46
50   25.21
60   29.06
70   35.24
80   41.85
90   41.19
100   44.39
110   55.52
120   62.29
130   57.8
140   74.02
150   70.08
160   77.8
170   84.85
180   92.15
190   100.86
200   97.14
210   95.39
220   117.72
230   107.52
240   113.91
250   113.62
260   130.29
270   131.32
280   151.57
290   141.99
300   142.11
310   162.52
320   153.83
330   156.78
340   155.36
350   172.39
360   168.98
370   173.74
380   191.11
390   190.53
400   202.6
410   220.82
420   218.16
430   207.75
440   206.76
450   247.03
460   252.86
470   238
480   244.91
490   248.04
500   254.5
510   246.71
520   257.28
530   272.43
540   289.88
550   285.79
560   288.59
570   262.35
580   288.99
590   304.36
600   300.71
610   322.03
620   322.1
630   301.96
640   315.79
650   306.51
660   324.48
670   360.14
680   344.38
690   333.52
700   338.65
710   371.62
720   308.66
730   382.34
740   350.96
750   388.67
760   381.41
770   392.54
780   407.35
790   326.7
800   373.21
810   433.83
820   399.2
830   379.55
840   459.68
850   439.43
860   460.31
870   426.86
880   445.96
890   422.78
900   476.66
910   497.15
920   478.69
930   460.05
940   477.34
950   484.46
960   507.16
970   476.41
980   542.71
990   473.19
1000   464.41
